Column1;State;Year;Rape;Kidnap and assault;Dowry deaths;Assault on women;Assault on modesty;Domestic violence;Women trafficking;Population;;;;;;;;;;;
135;Chandigarh;2004;19;43;6;20;18;73;0;947200;;;;;;;;;;;
136;Dadra and Nagar Haveli and Daman and Diu;2004;8;7;0;6;0;7;0;257200;;;;;;;;;;;
137;Delhi;2004;551;881;126;601;130;1254;0;14732100;;;;;;;;;;;
138;Lakshadweep;2004;0;0;0;0;0;1;0;61900;;;;;;;;;;;
139;Puducherry;2004;4;8;6;50;30;2;0;1056200;;;;;;;;;;;
140;Andhra Pradesh;2005;935;995;443;3595;2508;8696;3;76958724;;;;;;;;;;;
141;Arunachal Pradesh;2005;35;39;0;67;0;9;0;1212400;;;;;;;;;;;
142;Assam;2005;1238;1456;99;899;19;2206;3;28476000;;;;;;;;;;;
143;Bihar;2005;1147;929;1014;451;13;1574;74;91403360;;;;;;;;;;;
144;Chhattisgarh;2005;990;184;100;1450;132;732;0;22718400;;;;;;;;;;;
145;Goa;2005;20;12;2;30;8;11;0;1392400;;;;;;;;;;;
146;Gujarat;2005;324;916;48;802;104;4090;0;54578600;;;;;;;;;;;
147;Haryana;2005;461;344;212;380;597;2075;0;22827400;;;;;;;;;;;
148;Himachal Pradesh;2005;141;102;2;286;29;228;0;6392800;;;;;;;;;;;
149;Jammu & Kashmir;2005;201;658;5;830;371;76;0;11102800;;;;;;;;;;;
150;Jharkhand;2005;753;283;257;293;36;590;4;29362800;;;;;;;;;;;
151;Karnataka;2005;343;312;261;1585;71;1883;0;56148600;;;;;;;;;;;
152;Kerala;2005;478;129;21;2339;175;3283;0;32467000;;;;;;;;;;;
153;Madhya Pradesh;2005;2921;604;739;6426;792;2989;3;65259600;;;;;;;;;;;
154;Maharashtra;2005;1545;851;341;3228;919;6233;0;103077000;;;;;;;;;;;
155;Manipur;2005;25;69;0;25;0;20;0;2518800;;;;;;;;;;;
156;Meghalaya;2005;63;19;1;44;0;3;0;2578200;;;;;;;;;;;
157;Mizoram;2005;37;0;4;49;4;0;0;972200;;;;;;;;;;;
158;Nagaland;2005;17;9;0;7;0;0;0;1985600;;;;;;;;;;;
159;Odisha;2005;799;547;334;2238;184;1671;0;38872600;;;;;;;;;;;
160;Punjab;2005;398;329;99;308;43;729;0;25712600;;;;;;;;;;;
161;Rajasthan;2005;993;1549;361;2503;28;5997;0;61323400;;;;;;;;;;;
162;Sikkim;2005;18;2;0;38;0;4;0;569000;;;;;;;;;;;
163;Tamil Nadu;2005;571;783;215;1764;665;1650;0;66302400;;;;;;;;;;;
164;Telangana;2005;;;;;;;;;;;;;;;;;;;
165;Tripura;2005;162;43;34;161;1;439;0;3389000;;;;;;;;;;;
166;Uttar Pradesh;2005;1217;2256;1564;1835;2881;4505;0;179643600;;;;;;;;;;;
