Column1;State;Year;Rape;Kidnap and assault;Dowry deaths;Assault on women;Assault on modesty;Domestic violence;Women trafficking;Population;;;;;;;;;;;
643;Madhya Pradesh;2019;2485;6091;550;5585;174;5486;21;82138200;;;;;;;;;;;
644;Maharashtra;2019;2299;6906;196;10472;1074;8430;152;122024400;;;;;;;;;;;
645;Manipur;2019;36;84;0;59;7;15;0;3103200;;;;;;;;;;;
646;Meghalaya;2019;102;71;3;96;18;23;3;3223800;;;;;;;;;;;
647;Mizoram;2019;42;2;0;35;0;5;0;1192200;;;;;;;;;;;
648;Nagaland;2019;8;13;0;8;1;0;0;2149400;;;;;;;;;;;
649;Odisha;2019;1382;3934;342;11308;536;2739;19;43621200;;;;;;;;;;;
650;Punjab;2019;1002;1534;69;944;35;1595;9;29819800;;;;;;;;;;;
651;Rajasthan;2019;5997;5907;452;8802;69;18432;40;77134400;;;;;;;;;;;
652;Sikkim;2019;11;0;0;21;2;1;0;663800;;;;;;;;;;;
653;Tamil Nadu;2019;362;699;28;803;7;781;349;75551000;;;;;;;;;;;
654;Telangana;2019;873;1322;163;4190;695;8541;22;37180734,8;;;;;;;;;;;
655;Tripura;2019;88;138;38;153;5;451;0;3991600;;;;;;;;;;;
656;Uttar Pradesh;2019;3065;11649;2410;11988;42;18304;22;224688000;;;;;;;;;;;
657;Uttarakhand;2019;526;375;57;475;10;644;3;11136400;;;;;;;;;;;
658;West Bengal;2019;1069;4249;444;3399;391;16951;97;96755200;;;;;;;;;;;
659;Andaman & Nicobar;2019;13;0;0;25;3;1;0;388200;;;;;;;;;;;
660;Chandigarh;2019;112;129;6;66;15;177;0;1177400;;;;;;;;;;;
661;Dadra and Nagar Haveli and Daman and Diu;2019;4;3;5;8;3;7;1;375048;;;;;;;;;;;
662;Delhi;2019;1253;3672;116;2355;456;3792;4;19814400;;;;;;;;;;;
663;Lakshadweep;2019;0;0;0;5;8;0;0;67200;;;;;;;;;;;
664;Puducherry;2019;10;0;0;23;0;8;0;1507200;;;;;;;;;;;
665;Andhra Pradesh;2020;1095;534;111;4886;2342;6546;48;51261631;;;;;;;;;;;
666;Arunachal Pradesh;2020;60;45;0;73;3;69;0;1518100;;;;;;;;;;;
667;Assam;2020;1657;5364;148;4642;90;11408;18;34659300;;;;;;;;;;;
668;Bihar;2020;806;6671;1046;584;6;1935;30;121175690;;;;;;;;;;;
669;Chhattisgarh;2020;1210;1341;71;1461;279;641;3;29098200;;;;;;;;;;;
670;Goa;2020;60;31;0;67;35;8;0;1549000;;;;;;;;;;;
671;Gujarat;2020;486;597;6;846;17;3345;47;68853200;;;;;;;;;;;
672;Haryana;2020;1373;2423;251;2339;183;4119;28;29069800;;;;;;;;;;;
673;Himachal Pradesh;2020;331;281;1;538;88;259;0;7341100;;;;;;;;;;;
674;Jammu & Kashmir;2020;1321;993;275;1358;6;857;2;13321300;;;;;;;;;;;
675;Jharkhand;2020;504;923;176;4751;70;2055;159;37922700;;;;;;;;;;;
676;Karnataka;2020;637;151;6;3890;442;2707;5;66270000;;;;;;;;;;;
677;Kerala;2020;2339;4782;608;5378;200;5540;14;35280700;;;;;;;;;;;
678;Madhya Pradesh;2020;2061;5254;197;9965;969;6729;85;83327100;;;;;;;;;;;
679;Maharashtra;2020;32;49;1;61;8;7;0;123230700;;;;;;;;;;;
680;Manipur;2020;67;29;1;86;16;17;0;3134100;;;;;;;;;;;
681;Meghalaya;2020;33;1;0;26;3;7;0;3255900;;;;;;;;;;;
682;Mizoram;2020;4;6;1;7;2;2;0;1204100;;;;;;;;;;;
683;Nagaland;2020;1211;3775;320;12605;615;3659;19;2170700;;;;;;;;;;;
684;Odisha;2020;502;1241;63;731;28;1271;11;43827100;;;;;;;;;;;
685;Punjab;2020;5310;4739;479;8661;85;13765;67;30079400;;;;;;;;;;;
686;Rajasthan;2020;12;11;0;18;0;1;0;78207700;;;;;;;;;;;
687;Sikkim;2020;389;633;40;892;31;689;231;670400;;;;;;;;;;;
688;Tamil Nadu;2020;764;1314;158;4907;565;7453;13;75976500;;;;;;;;;;;
689;Telangana;2020;79;110;23;115;3;356;0;37452867,4;;;;;;;;;;;
690;Tripura;2020;2769;9109;2274;9864;28;14454;25;4031300;;;;;;;;;;;
691;Uttar Pradesh;2020;487;349;65;474;43;668;8;227797500;;;;;;;;;;;
692;Uttarakhand;2020;1128;7740;522;2488;446;19962;52;11267700;;;;;;;;;;;
693;West Bengal;2020;2;1;0;15;3;2;0;97440100;;;;;;;;;;;
694;Andaman & Nicobar;2020;60;90;1;42;4;96;0;389100;;;;;;;;;;;
695;Chandigarh;2020;4;0;1;6;3;4;0;1192700;;;;;;;;;;;
696;Dadra and Nagar Haveli and Daman and Diu;2020;1240;3713;119;3584;451;2906;3;377712;;;;;;;;;;;
697;Delhi;2020;2;0;0;4;0;3;0;20192700;;;;;;;;;;;
698;Lakshadweep;2020;3;0;0;3;1;0;0;67600;;;;;;;;;;;
699;Puducherry;2020;8;0;2;25;0;9;0;1539600;;;;;;;;;;;
700;Andhra Pradesh;2021;1188;613;108;5108;2370;7092;70;52787000;;;;;;;;;;;
701;Arunachal Pradesh;2021;83;50;0;74;10;112;0;1533000;;;;;;;;;;;
702;Assam;2021;1733;5739;198;4499;184;12950;22;35043000;;;;;;;;;;;
703;Bihar;2021;786;8661;1000;387;1;2069;32;123083000;;;;;;;;;;;
704;Chhattisgarh;2021;1093;1158;65;1248;238;963;3;29493000;;;;;;;;;;;
705;Goa;2021;72;39;0;74;20;1;1;1559000;;;;;;;;;;;
706;Gujarat;2021;589;881;11;660;7;2271;38;69788000;;;;;;;;;;;
707;Haryana;2021;1716;2958;275;2882;290;5755;28;29483000;;;;;;;;;;;
708;Himachal Pradesh;2021;358;344;2;487;94;221;6;7394000;;;;;;;;;;;
709;Jammu & Kashmir;2021;1425;1159;281;1335;6;931;3;13408000;;;;;;;;;;;
710;Jharkhand;2021;555;906;158;5105;71;2336;190;38471000;;;;;;;;;;;
711;Karnataka;2021;771;179;9;4059;504;4997;5;66845000;;;;;;;;;;;
712;Kerala;2021;2947;6106;522;5760;250;7929;15;35489000;;;;;;;;;;;
713;Madhya Pradesh;2021;2496;7559;172;10568;1038;10095;95;84516000;;;;;;;;;;;
714;Maharashtra;2021;26;44;2;92;16;18;0;124437000;;;;;;;;;;;
715;Manipur;2021;75;42;0;92;24;21;3;3165000;;;;;;;;;;;
716;Meghalaya;2021;26;0;0;31;0;11;0;3288000;;;;;;;;;;;
717;Mizoram;2021;4;5;0;11;1;2;0;1216000;;;;;;;;;;;
718;Nagaland;2021;1456;5175;293;14853;838;4889;31;2192000;;;;;;;;;;;
719;Odisha;2021;464;1616;69;678;39;1714;12;44033000;;;;;;;;;;;
720;Punjab;2021;6337;5964;452;9079;73;16949;40;30339000;;;;;;;;;;;
721;Rajasthan;2021;8;1;0;17;0;3;0;79281000;;;;;;;;;;;
722;Sikkim;2021;422;638;27;1077;32;875;381;677000;;;;;;;;;;;
723;Tamil Nadu;2021;823;1934;175;4365;775;9468;12;76402000;;;;;;;;;;;
724;Telangana;2021;61;115;22;94;1;355;0;37725000;;;;;;;;;;;
725;Tripura;2021;2845;10574;2222;9393;27;18375;12;4071000;;;;;;;;;;;
726;Uttar Pradesh;2021;534;402;72;655;13;519;17;230907000;;;;;;;;;;;
727;Uttarakhand;2021;1123;7376;454;2485;424;19952;50;11399000;;;;;;;;;;;
728;West Bengal;2021;15;0;1;32;4;4;0;98125000;;;;;;;;;;;
729;Andaman & Nicobar;2021;74;120;4;37;6;95;0;400000;;;;;;;;;;;
730;Chandigarh;2021;3;23;0;7;0;6;0;1208000;;;;;;;;;;;
731;Dadra and Nagar Haveli and Daman and Diu;2021;1565;4987;157;3919;427;5232;5;383039;;;;;;;;;;;
732;Delhi;2021;2;1;0;5;1;9;0;20571000;;;;;;;;;;;
733;Lakshadweep;2021;0;0;0;1;1;3;0;68000;;;;;;;;;;;
734;Puducherry;2021;2;0;2;31;3;12;0;1572000;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
